texts,year
"However, the FS BMA requires large amount of computations which causes time delay, and requires complex hardware architecture.",1998
"The proposed algorithms were compared with the Three-Step Search (TSS), the Parallel Hierarchical One-Dimensional Search (PHODS), the Efficient and Simple Search (ESS) and the Fast Three-Step Search (FTSS).",1998
"For the speed up of computation and better prediction in motion estimation over TSS algorithm, many modified TSS algorithms have been developed.",1999
J. Lu and M. L. Liou’s algorithm (ESS)[4] is very efficient in the reduction of checking points without serious degradation of PSNR of the predicted image. ,1999
"As explained before, above algorithms [4],[5],[9],[10] must determine the second minimum and the third minimum of SAD.",1999
"For the speed up of computation and better prediction in motion estimation, many modified TSS algorithms have been studying.",1999
"Some well known examples are the Three Step Search (TSS), Cross Search Algorithm (CSA), 2-D Logarithmic Search (2DLOG), New Three Step Search (NTSS), Simple and Efficient Search (SES), Four Step Search (FSS) [8],[9],[11]-[14] etc.",2000
"When used on larger windows,thecomplexity-reduction factors remain quite modest[7],[8]or relevant decreases in the vector estimation efficiency have to be accepted",2000
"Reduction factors near to or larger than two orders of magnitude, and therefore comparable with the ones obtained by the VT-MGS, can be reached only accepting a sub-optimal image quality [2], [4], [11].",2000
"The former, lossy algorithm, includes the following subgroups: 1) unimodal error search assumption (UESA) techniques [5]–[17];",2001
Most of the fast BMAs exploit a unimodal error surface model[6]–[18],2001
"In [6]–[18], the number of search points is reduced by selectively checking the points under the unimodal error surface model, where the matching error is assumed to increase monotonically as the search moves away from the position of global minimum error.",2001
" In [22], the local gradient of the distortion measure is used to restrict the number of positions investigated at each step of the TSS algorithm",2002
"The FTSS algorithm (Kim, 1998) is based on TSS (Koga, 1981) and the SES (Lu, 1997) algorithms",2002
"As a result, many fast and efficient BMAs such as the three-step search algorithm (TSS) [1], the cross-search algorithm (CS) [2], the parallel hierarchical one-dimensional search algorithm (PHODS) [3], the four-step search algorithm (FSS) [4], and the simple and efficient search algorithm (SES) [5]have been developed to reduce the computational complexity",2002
the simple and efficient search [2] and the one at a time search [3] both in reaching the lowest mean square error and achieving a quite small average search point numbers,2003
"This approach relies both on the SES [3] and FSS [4] algorithms, choosing between them according to a particular metric.",2003
" Here we would like to highlight that our method is significantly different from the SES algorithm[5] used to speed up the TSS, although they share the similar philosophy in reducing the number of search points",2004
