A simple and efficient search algorithm for block-matching motion estimation,Sentiment_Score0,year,M-PSK and M-QAM BER computation using signal-space concepts,Sentiment_Score1,year.1,Companding transform for reduction in peak-to-average power ratio of OFDM signals,Sentiment_Score2,year.2,A planar monopole antenna design with band-notched characteristic,Sentiment_Score3,year.3,Bit-interleaved time-frequency coded modulation for OFDM systems over time-varying channels,Sentiment_Score4,year.4,Robust video transmission over correlated mobile fading channels,Sentiment_Score5,year.5,A time-frequency decision-feedback loop for carrier frequency offset tracking in OFDM systems,Sentiment_Score6,year.6,Nonpilot-aided carrier frequency tracking for uplink OFDMA systems,Sentiment_Score7,year.7,A receive space diversity architecture for OFDM systems using orthogonal designs,Sentiment_Score8,year.8,Carrier Frequency Offset Estimation Using Extended Kalman Filter in Uplink OFDMA Systems,Sentiment_Score9,year.9
"As a result, BMA develop a set of solutions for lowering FS complexity while maintaining quality.. However, one major drawback of these search algorithms is that they frequently take longer to locate zero motion vectors for stationary blocks since they examine numerous locations in the search method.",0.12239367961883546,2024,"For Gray-mapped Mn-PSK modulation, the BER over white Gaussian noise channel is [31]",0.15279570817947385,2024,They found that the linear nonsymmetrical transform (LNST) under Gaussian distribution assumption has the best BER performance and PAPR reduction ability [12].,0.1880718946456909,2024,,0.0,2024,,0.0,2024,,0.0,2024,,0.0,2024,,0.0,2024,,0.0,2024,,0.0,2024
"many fast algorithms have been proposed, such as the three step search (TSS) [7], new three step search (NTSS) [8], two minimum three-step search algorithm [9], four-step search (FSS) [10], simple and efcient search (SES) [11],",0.24887591302394868,2023,"We will follow the approach, proposed in [23], and for the case of the coherent M-PSK modulation apply the BER approximation written in the form presented
in [24]:",0.1530065029859543,2023,"Several PAPR reducion techniques have been proposed in the literature, which can be divided two classes of technique, namely, blind (no side information) such as clipping and filtering [3],tone reservation [7], companding [6],ACE [4]and pre/post-coding based techniques such as ZCT pre/postcoding matrix[ [1] methods",0.19724887609481812,2023,"Meanwhile, various structural design methods have been proposed to achieve band rejection: like parasitic patches [10], slots on patch [11]-[13] and so on",0.1724938929080963,2023,,0.0,2023,,0.0,2023,,0.0,2023,,0.0,2023,"Inspired by the concept of spatial diversity enhancing OFDM in [23], a straightforward way is to adopt multiple antennas for the diversity reception of OFDM-IM [24]",0.1801271826028824,2023,,0.0,2023
"To improve the speed of motion estimation, several search methods [9], [10], [11], [12], [13], [14], [15], [16], [17], [18], block matching criteria, starting point prediction methods, and early termination strategies [30], [31], [32] have been proposed. ",0.25727886259555816,2022, The conditional bit error rate (BER) of user i for M-PSK signaling when M > 4 can be simplified to [15],0.18705247342586517,2022,"To compare the transform-based companding technique with conventional companding technique [4], the transformbased companding technique shrinks the largest signals and expands the smallest signals. ",0.17356574833393096,2022,"In general, the notched bands can be realized by etching slots in the patch [45], [46] and loading additional resonators around the planar monopole [47], [48]. ",0.1889003485441208,2022,"Fig. 13 shows the comparison between the proposed scheme and the 16DCSK-BITFCM with parameters as follows: convolutional code, code rate-0.5, generators (133,171) in octal [45],[46]",0.14785111546516416,2022,,0.0,2022,,0.0,2022,,0.0,2022,"Inspired by the concept of spatial diversity enhancing OFDM in [23], a straightforward way is to adopt multiple antennas for the diversity reception of OFDM-IM [24]",0.1801271826028824,2022,,0.0,2022
The Simple and Efficient Search (SES) algorithm [10] was introduced by J. Lu and M.L. Liou in 1997. SES assumes unimodal error surface. ,0.22529784590005875,2021,"To evaluate the maximum available transmission distance in a practical system, we use the bit error rate (BER) relation for the M-ary phase-shift keying (M-PSK) signal as follows [51]:",0.18621458709239957,2021," The use of a compander was explored in OFDM systems in order to reduce the PAPR of the signal while its distortion is maintained in reasonable levels [8], [9].",0.18091667592525484,2021,A monopole antenna with a C-shape slot on a patch in [84] causes a single notch in UWB operating band.,0.1395298928022385,2021,The optimal maximum likelihood (ML) bit metric is given by [35],0.18644574880599973,2021,,0.0,2021,,0.0,2021,"in Reference [11], it develops a tracking scheme which compensates the CFOs by using decision-feedback recovery loop",0.10957922041416168,2021,,0.0,2021,,0.0,2021
Table 2 Critical inferencing overview of frequently adopted block-matching algorithm into video compression Simple and Efficient TSS (SESTSS) [74] ,0.1840708076953888,2020,"For phase-shift keying modulation, we can refer to the unified approximation derived in an earlier work [50, (12)]",0.14161838591098785,2020,"Other related approaches such as peak windowing, peak cancellation (PC), and companding (e.g., [25]–[32]) have also been investigated.",0.20863719582557677,2020,,0.0,2020,,0.0,2020,,0.0,2020,,0.0,2020,,0.0,2020,,0.0,2020,,0.0,2020
"optimised for 3D dynamic bit assignment to several blockbased motion estimation algorithms employed by standard video codecs, namely:Simple and Efficient Search (SES) [13]",0.2125874698162079,2019,"Based on the study in [40] and analysis in this paper, the impact of noise on BER is negligible when noise exceeds 4d1,z due to two reasons (in [40] this threshold is 3d).",0.11319884657859802,2019,"In the undistorted [5-6] and distorted [7-8] algorithms proposed by OFDM, the PAPR and BER can be reduced.",0.1758845031261444,2019,,0.0,2019,"In[38], bit-interleaved time-frequency coded modulation (BITFCM) scheme in OFDM systems in wireless time-varying channels was proposed.",0.20163566172122954,2019,,0.0,2019,,0.0,2019,,0.0,2019,"Considering the numerical analysis of the systems, SFBC-OFDM has been presented and appraised [3]-[11].",0.20383939445018767,2019,,0.0,2019
The main steps involved in video compression is motion estimation and motion compensation,0.20985254645347595,2018,"Using Equations. (11) and (13), the Bit Error Rate in a gradually Rayleigh fading-channel modulated with BPSK is given by",0.1829648494720459,2017,"It was shown in [18] that, a linear nonsymmetrical transform (LNST) with an inflexion point has the best PAPR and BER performance among the various companding transform techniques",0.17075209319591522,2018,,0.0,2018,,0.0,2018,,0.0,2018,,0.0,2018,,0.0,2018,"Similar to spatial diversity enhancing OFDM schemes [22]–[24], an intuitive way is to deploy multiple receive antennas and adopt diversity reception for OFDM-IM, as suggested in [25]",0.15642677545547484,2018,"As the phase noise is modelled as a Wiener process, we apply the Extended Kalman Filter (EKF) [34] over the time domain samples,",0.16799708306789396,2018
"Several algorithms have been developed to reduce the block sizes and improve the searching criteria, among them there is:",0.21630991995334625,2017,"For MPSK, from the signal-space concept, the instantaneous BER is given by [29]:",0.1774232119321823,2016," In [4], four methods were proposed based on the characteristic curves of the companding transform. The results in [4] demonstrate that the linear nonsymmetrical companding transform (LNST) have a better performance due to the presence of the inflection point. ",0.19483174979686735,2017,,0.0,2017,"In [10], a reduced-complexity maximum-likelihood (RC-ML) equalization with ICI mitigation was proposed. Although this equalization scheme can reduce computation complexity, the performance degrades due to error propagation in an iterative process.",0.1421648323535919,2017,,0.0,2017,,0.0,2017,,0.0,2017,,0.0,2017,"Here, based on the proposed model, we apply the extended Kalman filter (EKF) [15] with the following steps,",0.18633189201354983,2017
"The algorithms were combined with standard motion estimation algorithms including the three-step search (TSS) [11], the simple and efficient three-step search (SETSS) [14], the new three-step search (NTSS) [12] and the diamond search (DS) [22].",0.20165466368198393,2016,"From the signal-space concept, the instantaneous BER of MPSK constellation is given by [26]:",0.17129027247428896,2015,The other commonly used PAPR reduction technique is signal companding. This technique applies nonlinear compression to the transmit signals to suppress the signal peak values [13–15],0.17350887060165404,2016,,0.0,2016,"In [144], a bit-interleaved time-frequency coded modulation (BITFCM) is used to collect diversity in both time and frequency domains. It is shown that ICI caused by high Doppler spread might seriously degrade system performance, thus ICI cancellation is necessary to achieve a good performance in high mobility systems",0.14600334167480467,2016,,0.0,2016,,0.0,2016,,0.0,2016,Orthogonal frequency division multiplexing (OFDM) is a powerful tool that can deal with the detrimental effects of multipath fading [32] and has been adopted in many wireless standards such as DTV and wireless LAN.,0.20626305043697357,2016,,0.0,2016
"In these fast search methods with fixed search path, only a few candidate blocks are detected, which leads to a massive reduction in computational complexity",0.13113947510719298,2015,"Utilizing [25, Eq.(12)] and (17), the average BER of MUS-MIMO with MPSK and Gray coding can be expressed as",0.17335628271102904,2014,"In contrast, when the number of subcarriers is sufficiently large [7], the PAPR for an OFDMA system can be as high as Mk",0.132738333940506,2015,"Consequently many methods have been reported in the literature to project notched band antennas using wide slot with fork like tuning stub , having C shaped attachment ,using two bevels on arc-shaped edge radiation patch…",0.17177252173423768,2015,A better way of achieving frequency-diversity for OFDM is to exploit coding and interleaving applied right across all the subcarriers [9].,0.1949175983667374,2015,,0.0,2015,"In [18], [19] a non-data aided, loop based CFO correction scheme is considered. Their CFO estimator is based on a phase detector (slicer), which can only handle very small CFO.",0.1477289140224457,2015,,0.0,2015,,0.0,2015,"The physical layer generally uses space diversity technology  and the traditional fixed rate coding scheme (namely the
repetition code, turbo code and space time codes, etc.), which can obtain diversity gain and coding gain, so as to
improve the transmission performance of the system",0.13935795724391936,2015
