Citation_Text,Sentiment,Source
"Recently, an elegant approach to inference in discourse interpretation has been developed at a number of sites  , all based on tim notion of abduction, and we have begun to explore its potential application to machine translation.",1,original
provide a promising physical framework to rationalize the high intrinsic enthalpic signatures of 15–40 kcal mol−1  ,1,original
Among the most widely studied is the Gibbs distribution  .,1,original
"Many techniques for bone defatting are described in the literature, including mechanical cleaning with water or air jet,  acetone ⁄ ethanol solution,  enzyme detergents,  hydrogen peroxide,  aqueous sodium hydroxide,  and sodium hypochlorite  .  We adopted the latter technique, because it has been found suitable for formalinized specimens,  is safe for personnel and is very low cost.",1,original
"Sentences are parsed using the MST dependency parser  , which implements the Eisner algorithm   for dependency parsing, and provides an efficient and robust performance.",1,original
"In particular,   presents very strong results using a distributional-similarity module and achieve impressive tagging accuracy while starting with a mere 116 prototypical words.",1,original
"The limitations of the generative approach to sequence tagging, i. e. Hidden Markov Models, have been overcome by discriminative approaches proposed in recent years  .",1,original
The most commonly used MT evaluation metric in recent years has been IBM?s Bleu metric  .,1,original
"The most popular non-data-splitting methods for predicting test set cross-entropy   are AIC and variants such as AICc, quasi-AIC  , and QAICc  .",1,original
Another kind of popular approaches to dealing with query translation based on corpus-based techniques uses a parallel corpus containing aligned sentences whose translation pairs are corresponding to each other  .,1,original
The ROUGE   suite of metrics are n-gram overlap based metrics that have been shown to highly correlate with human evaluations on content responsiveness.,1,original
2.1 Lexicalized parse trees The first successful work on syntactic disambiguation was based on lexicalized probabilistic context-free grammar    .,1,original
"The Penn Treebank   has until recently been the only such corpus, covering 4.5M words in a single genre of financial reporting.",1,original
…    or enteric polymers such as hydroxypropyl methylcellulose phthalate     and hydroxypropyl methylcellulose acetate succinate     have demonstrated use…,1,original
"Recent several years have witnessed the rapid development of system combination methods based on confusion networks  ), which show state-of-theart performance in MT benchmarks.",1,original
"The most notable of these include the trigram HMM tagger  , maximum entropy tagger  , transformation-based tagger  , and cyclic dependency networks  .",1,original
"Recently, various works have improved the quality of statistical machine translation systems by using phrase translation  .",1,original
"For example, the efficient algorithm implemented in GCTA   uses the restricted maximum likelihood   method to estimate σ 2g and σ 2 under the null model while the GRM K was estimated from all the SNPs.",1,original
"Along this line,   present convincing evidence that restricting phrasal translation to syntactic constituents yields poor translation performance  the ability to translate nonconstituent phrases   turns out to be critical and pervasive.",1,original
"The Inversion Transduction Grammar or ITG formalism, described in  , is well suited for our purposes.",1,original
…of NMDAR antagonists have been suggested to be highly useful models of the cognitive impairment in schizophrenia  .,1,original
1 Introduction There has been a great deal of progress in statistical parsing in the past decade  .,1,original
"A well-known method for use in these situations is the “randomized response technique”  , introduced by Warner  .",1,original
"Ranking algorithms, such as Kleinbergs HITS algorithm   or Googles PageRank  , have been traditionally and successfully used in Web-link analysis  , social networks, and more recently in text processing applications  ,  ,  .",1,original
"1 Introduction As with many other statistical natural language processing tasks, statistical machine translation   produces high quality results when ample training data is available.",1,original
Synchronization is the most commonly-used method  .,1,original
"For example, the second version of the Microsoft Kinect   is one of the most low-cost and high-speed Time-of-Flight   sensors in the market  .",1,original
"However, this is not unprecedented: discriminatively weighted generative models have been shown to outperform purely discriminative competitors in various NLP classification tasks  , and remain the standard approach in statistical translation modeling  .",1,original
"Demonstration of intrathecal immunoglobulin and antibody synthesis are powerful tools for diagnosis of neurological disorders, as has been shown for multiple sclerosis and several infectious diseases of the CNS  .",1,original
  compares his method to   and shows that for four words the former performs significantly better in distinguishing between two senses.,1,original
"It could be shown that such methods, of which BLEU   is the most common, can deliver evaluation results that show a high agreement with human judgments  .",1,original
We report results using the well-known automatic evaluation metrics Bleu  .,1,original
"1 Introduction Todays statistical machine translation systems rely on high quality phrase translation pairs to acquire state-of-the-art performance, see  .",1,original
"As has been previously observed and exploited in the NLP literature  , the above optimization function, unlike many others that have been proposed for graph or set partitioning, can be solved exactly in an provably efficient manner via methods for finding minimum cuts in graphs.",1,original
n efficient algorithm for performing this tuning for a larger number of model parameters can be found in Och  ,1,original
"…for remediation of runoff from agricultural irrigation and agro-industrial production has become increasingly popular over the last decades, due to their low capital and operational cost, low energy consumption, and environmental friendliness  .",1,original
Several investigations represented both occurrence and severity of CIN were well correlated with improved survivals in various cancers  .,1,original
BLEU and NIST have been shown to correlate closely with human judgments in ranking MT systems with different qualities  .,1,original
"Recently, a novel method called minimal distance maximization     was developed which does not require any weighting function.",1,original
"Proceedings of the Conference on Empirical Methods in Natural 2 Automatic Thesaurus Extraction The development of large thesauri and semantic resources, such as WordNet  , has allowed lexical semantic information to be leveraged to solve NLP tasks, including collocation discovery  , model estimation   and text classi cation  .",1,original
" , but we use a maximum entropy classifier   to determine parser actions, which makes parsing extremely fast.",1,original
"The parsers with the highest published broad-coverage parsing accuracy, which include Charniak  , Collins  , and Ratnaparkhi  , all utilize simple and straightforward statistically based search heuristics, pruning the search-space quite dramatically.",1,original
